SampleID,Layer,Component,Quantity,,,,,,,,,
MITSUBISHI U04 (S1),1,BC 4510,8.1,,,,,,,,,
MITSUBISHI U04 (S1),1,BC 4560,1.3,,,,,,,,,
MITSUBISHI U04 (S1),1,BC 4202,0.9,,,,,,,,,
MITSUBISHI U04 (S1),1,BC 4580,0.4,,,,,,,,,
MITSUBISHI U04 (S1),1,BC 4440,0.4,,,,,,,,,
MITSUBISHI U04 (S1),1,BC 4084,0.2,,,,,,,,,
MITSUBISHI U04 (S1),1,BC 4110,6.7,,,,,,,,,
CHRYSLER PRV (S1),1,BC 4002,5.8,,,,,,,,,
CHRYSLER PRV (S1),1,BC 4188,31.9,,,,,,,,,
CHRYSLER PRV (S1),1,BC 4082,26.5,,,,,,,,,
CHRYSLER PRV (S1),1,XB 4581,18.6,,,,,,,,,
CHRYSLER PRV (S1),1,BC 4026,4.6,,,,,,,,,
CHRYSLER PRV (S1),1,BC 4283,4,,,,,,,,,
CHRYSLER PRV (S1),1,BC 4202,2,,,,,,,,,
CHRYSLER PRV (S1),1,BC 4110,6.6,,,,,,,,,
HONDA NH603P (S1),1,BC 4002,2.5,,,,,,,,,
HONDA NH603P (S1),1,BC 4019,86.2,,,,,,,,,
HONDA NH603P (S1),1,BC 4920,9.9,,,,,,,,,
HONDA NH603P (S1),1,BC 4560,1.4,,,,,,,,,
HONDA NH603P (S1),2,BC 4002,8.8,,,,,,,,,
HONDA NH603P (S1),2,BC 4010,73.1,,,,,,,,,
