SampleID,Tag_Brand,Tag_Color Code,Tag_Color,Tag_Coarseness
CHRYSLER GBC (S1),CHRYSLER,GBC,VIPER BRIGHT BLUE PEARLCOAT,Coarse
CHRYSLER JYC (S1),CHRYSLER,JYC,BRIGHT AMBER PEARL,Medium
CHRYSLER KWH (S1),CHRYSLER,KWH,PEARL WHITE TRI COAT,Medium
CHRYSLER KWH (S4),CHRYSLER,KWH,PEARL WHITE TRI COAT,Fine
CHRYSLER LBG (S1),CHRYSLER,LBG,GLACIER PEARL,Medium
CHRYSLER PB3 (S1),CHRYSLER,PB3,INTENSE BLUE PEARLCOAT,Coarse
CHRYSLER PB3 (S2),CHRYSLER,PB3,INTENSE BLUE PEARLCOAT,Coarse
CHRYSLER PBJ (S2),CHRYSLER,PBJ,ATLANTIC BLUE PEARLCOAT,Coarse
CHRYSLER PC5 (S1),CHRYSLER,PC5,LIGHT IRIS PEARLCOAT,Medium
CHRYSLER PCW (S1),CHRYSLER,PCW,DARK IRIS PEARLCOAT,Extra Coarse
CHRYSLER PEG (S1),CHRYSLER,PEG,DARK ROSEWOOD PEARLCOAT,Coarse
CHRYSLER PFA (S1),CHRYSLER,PFA,PRAIRIE PEARL,Medium
