SampleID,Tag_Brand,Tag_Color Code,Tag_Color,Tag_Coarseness,
MINI B17 (S1)-LS,MINI,B17,BRIGHT YELLOW,NA,
MINI C1V (S1)-LS,MINI,C1V,CHESTNUT,NA,
PEUGEOT 1132 (S1)-LS,PEUGEOT,1132,BLANC AROSA,NA,
PEUGEOT EWM (S1)-LS,PEUGEOT,EWM,BLANC CYGNE,NA,
PEUGEOT EWL (S1)-LS,PEUGEOT,EWL,BLANC BETA,NA,
PEUGEOT EWP (S1)-LS,PEUGEOT,EWP,BLANC BANQUISE,NA,
PEUGEOT ECX (S1)-LS,PEUGEOT,ECX,BEIGE TIBESTI,NA,
PEUGEOT EDW (S1)-LS,PEUGEOT,EDW,BEIGE ANTILOPE,NA,
PEUGEOT ELE (S1)-LS,PEUGEOT,ELE,BLEU CIEL,NA,
PEUGEOT KBK (S1)-LS,PEUGEOT,KBK,BLEU HAWAI,NA,
PEUGEOT ENE (S1)-LS,PEUGEOT,ENE,BLEU GENTIANE,NA,
PEUGEOT ELF (S1)-LS,PEUGEOT,ELF,BLEU FJORD,NA,
PEUGEOT ELM (S1)-LS,PEUGEOT,ELM,BLEU CARAIBES,NA,
PEUGEOT ESD (S1)-LS,PEUGEOT,ESD,BLEU BERMUDES,NA,
PEUGEOT EPC (S1)-LS,PEUGEOT,EPC,BLEU LAZULI,NA,
PEUGEOT KPV (S1)-LS,PEUGEOT,KPV,BLEU LINE,NA,
PEUGEOT ENB (S1)-LS,PEUGEOT,ENB,BLEU GENDARMERIE,NA,
PEUGEOT KMJ (S1)-LS,PEUGEOT,KMJ,BLEU GEA,NA,
PEUGEOT MOMH (S1)-LS,PEUGEOT,MOMH,CARTE BLANCHE,NA,
PEUGEOT ENN (S1)-LS,PEUGEOT,ENN,BLEU SAVIEM,NA,
PEUGEOT ENH (S1)-LS,PEUGEOT,ENH,HELLO YELLOW,NA,
PEUGEOT ECE (S1)-LS,PEUGEOT,ECE,BEIGE AMBULANCE ALLEMAGNE,NA,
PEUGEOT EMN (S1)-LS,PEUGEOT,EMN,BLEU LIPARI,NA,
PEUGEOT KDP (S1)-LS,PEUGEOT,KDP,BLEU PANTONE 7459C,NA,
PEUGEOT ELS- (S1)-LS,PEUGEOT,ELS,BLEU MAGELLAN,NA,
PORSCHE 3AR (S1)-LS,PORSCHE,3AR,BLAUTUERKIS,NA,
PORSCHE 60G (S1)-LS,PORSCHE,60G,BOARD PERFECT GRAU,NA,
PORSCHE 37P (S1)-LS,PORSCHE,37P,BLAU,NA,
PORSCHE 139 (S1)-LS,PORSCHE,139,BLUETENGELB,NA,
PORSCHE 30E (S1)-LS,PORSCHE,30E,BAHIAROT,NA,
